Reference	LeftContext	Pivot	RightContext
feminin, 376	进来 的 ， 是 七八个 身形 高大 的	女子	， 手持 绳索 ， 步伐 整齐 ， 为首 的 一个 ， 生
feminin, 376	， 便 朝 那 几个 张罗 斋饭 的	女子	大声 道 ： " 拿下 ！ " 唐僧 腾地 站 起来 ，
feminin, 378	" 做 什么 ？ " 那 为首 的	女子	冷 冷一笑 ， 道 ， " 长老 从 东土 来 ， 是
feminin, 380	— — " " 天理 ？ " 那	女子	哈哈 一笑 ， 招手 道 ， " 拿 绳子 来 。 "
feminin, 391	石亭 的 柱子 上 ， 几个 粗壮 的	女子	正在 旁边 商议 ， 其余 女子 环列 四周 ， 竟是 一伙 妖怪
feminin, 391	粗壮 的 女子 正在 旁边 商议 ， 其余	女子	环列 四周 ， 竟是 一伙 妖怪 ， 妖气 虽 不 浓 ，
feminin, 392	从天而降 ， 那一棒 势大力沉 ， 正中 那 为首	女子	的 兵刃 ， 将 她 手中 的 弯刀 震 飞出去 ， 随即
feminin, 422	背影 轻声道 ： " 师父 ， 那 几个	女子	… … 其中 有 几个 ， 不 像是 真心 从 妖 的
manuel, 5	山沟 里 摇身一变 ， 变成 个 美貌 的	女子	， 左手 提 着 一个 青砂 罐儿 ， 右手 提 着 一个
manuel, 5	， 装作 很 斯文 的 样子 ， 迎着	女子	走 过来 。 走 到 跟前 一看 ， 那 呆子 就动 了
manuel, 6	僧 的 来 了 ？ ” 唐僧见 那个	女子	走 过来 了 ， 连忙 站 起身 来 ， 合掌 当 胸道
manuel, 7	他 火眼金睛 观看 ， 一下子 就 认出 那	女子	是 个 妖精 。 悟空 提起 金箍棒 当头 就 打 。 吓
manuel, 7	： “ 师父 ， 你 面前 的 这个	女子	是 个 妖精 ， 要来 骗 你 哩 。 ” 唐僧 说
manuel, 7	可是 猪八戒 却 挑拨 说 ： “ 这	女子	本是 此间 农妇 ， 怎么 能 是 妖怪 ？ 师兄 棒重 ，
manuel, 9	： “ 兄弟 莫 要 胡说 。 那	女子	十八岁 ， 这 老妇 有 八十岁 ， 难道 六十岁 还会生 孩子 ，
manuel, 43	。 正在 这时 ， 路旁 闪 出 一个	女子	， 喝道 ： “ 唐御弟 ， 哪里 走 ！ ” 沙僧 骂
manuel, 43	？ ” 拿出 宝杖 就 打 。 那	女子	弄 了 一阵风 ， “ 呜 ” 的 一声 把 唐僧 卷
manuel, 45	？ ” 沙僧 说 ： “ 是 一个	女子	， 弄阵 旋风 把 师父 卷 走 了 。 ” 行者 跳上
manuel, 56	” 唐僧 感谢 不尽 ， 又 将 那些	女子	放 回 女儿国 。 师徒 吃 了 斋 ， 点火 烧毁 琵琶
manuel, 59	一个 男人 也 见 不到 ， 只有 四个	女子	。 想 退回去 吧 ， 又 怕 徒弟 笑话 自己 连个 斋
manuel, 59	木香 亭子 。 亭子 下 又 有 三个	女子	在 那里 踢球 哩 。 三藏 看 了 一会儿 ， 只得 高声
manuel, 59	在 这里 化些 斋 吃 。 ” 那些	女子	听见 ， 一个个 欢欢喜喜 走上 前 来说 ； “ 长老 ， 失迎
manuel, 59	善哉 ！ 善哉 ！ 西方 正是 佛地 ，	女子	都 这么 好 ， 男 的 就 更 虔诚 了 。 一个
manuel, 60	男 的 就 更 虔诚 了 。 一个	女子	上前 ， 把 石头 门 推开 两扇 ， 请 唐僧 里面 坐
manuel, 60	少 吉多 凶 。 断然 不善 。 ”	女子	笑嘻嘻 地问 ： “ 长老 ， 从何而来 ？ ” 唐僧 道 ：
manuel, 60	这里 ， 化些 斋 吃 。 ” 众	女子	说 ： “ 好 ， 好 ， 好 ！ 常言道 ： ‘
manuel, 61	斋 来 。 ” 这时 ， 有 三个	女子	陪 唐僧 说话 ， 另外 四个 女子 去 做饭 。 不一会儿 饭菜
manuel, 61	三个 女子 陪 唐僧 说话 ， 另外 四个	女子	去 做饭 。 不一会儿 饭菜 就 端上来 了 ， 全是 人油 炒菜
manuel, 61	， 吓 得 又 要 走 。 那些	女子	拦住 门 ， 不肯 放行 ， 都 说 ： “ 送上门 的
manuel, 61	’ 你 往 哪里 去 ？ ” 七个	女子	上来 ， 把 唐僧 扯住 ， 顺手牵羊 用 绳子 捆 了 ，
manuel, 61	绳子 捆 了 ， 悬梁 高吊 。 那些	女子	脱 了 上衣 ， 露出 肚脐眼 ， 各显神通 ： 一个个 肚脐眼 里
manuel, 64	等待 她们 过来 。 不一会儿 走 过来 七个	女子	。 行者 飞 了 过去 。 只见 那 浴池 有 五丈 余阔
manuel, 64	内有 四尺 深浅 ， 水清见 底 。 七个	女子	一齐 脱 了 衣服 搭 在 衣架 上 ， 跳 下水 去
manuel, 65	直向 那里 奔 去 。 只见 那 七个	女子	蹲 在 水里 ， 口中 乱骂 那 只 叼 走 了 她们
manuel, 84	不 着 ， 来来往往 ， 不知 有 多少	女子	走动 ， 只是 一个 也 捞 不 着 。 呆子 东扑 抱住
masculin, 101	山沟 里 摇身一变 ， 变成 个 美貌 的	女子	， 左手 提 着 一个 青砂 罐儿 ， 右手 提 着 一个
masculin, 102	伸长 脖子 往 那边 张望 ， 只见 一个	女子	裊裊 婷婷 地 走来 ， 生得 眉如 远山 ， 眼含 秋水 ，
masculin, 104	咳 了 一声 ， 目光 不曾 在 那	女子	身上 停留 ， 却 已 微 蹙 了 眉头 ， 心中 隐隐
masculin, 104	说 此处 旷野 无人 ， 却 有 一	女子	独自 行走 ， 这 … … 委实 有些 奇异 。 " 说话
masculin, 105	有些 奇异 。 " 说话 间 ， 那	女子	已 走近 了 ， 盈盈 向 唐僧 一福 ， 声音 软 糯
masculin, 106	不足为奇 ， 随即 又 把 注意力 放回 那	女子	脸上 去 了 。 唐僧 合十 ， 温 声道 ： " 阿弥陀佛
masculin, 109	， 目光 一扫 ， 便 看见 了 那个	女子	。 他 脸上 的 笑意 未及 消散 ， 眼神 却 倏地 变
masculin, 109	他 火眼金睛 ， 哪里 看不出来 — — 那	女子	周身 阴气森 森 ， 皮囊 之下 骨影 幢幢 ， 分明 是 一个
masculin, 111	， 哪里 来 的 姑娘 ？ " 那	女子	见 悟空 落下来 ， 心中 暗暗 一惊 ， 却 面不改色 ， 反而
masculin, 113	看 悟空 ， 又 看 了 看 那	女子	， 神色 之间 有 几分 迟疑 ， 却 还是 起身 ， 往
masculin, 117	唐僧 沉默 了 一瞬 ， 他望 着 那	女子	， 只见 她 低着头 ， 一副 温顺 柔弱 的 模样 ， 心中
masculin, 119	看着 。 " 他 大踏步 走 回 那	女子	跟前 ， 手里 金箍棒 已 捏 得 发白 ， 脸上 却 挂
masculin, 120	， 可否 让 老孙 看看 ？ " 那	女子	神色 不变 ， 从容 地 将 青砂 罐递 了 过来 ， 道
masculin, 125	看见 的 ， 终究 只是 一个 倒地 的	女子	， 而 非 什么 骷髅 妖怪 。 唐僧 目瞪口呆 地 看着 地上
masculin, 129	便是 妖怪 ？ 那 分明 是 个 良善	女子	， 手里 提 着 斋饭 ， 你 却 … … 你 却
masculin, 131	平日 里 的 直爽 ， 大约 是 那	女子	的 相貌 还 在 他 脑海 里 留 着 影子 ， 让
masculin, 160	阴云 翻滚 ， 骨架 之下 和 方才 那	女子	一般无二 ， 分明 是 同一个 妖怪 又 一次 乔装 。 他 的
masculin, 195	那种 若有若无 的 阴冷 气息 — — 那	女子	、 那 老妪 、 还有 如今 这 老翁 ， 身上 都 有着
masculin, 221	， 门里 已 走出 几个 衙役 打扮 的	女子	， 公服 整齐 ， 腰 佩刀 剑 ， 面色 肃然 ， 当中
masculin, 266	" 时 的 语气 ， 是 这 满国	女子	在 这片 与世隔绝 的 土地 上 日复一日 的 生存 ， 那 其中
